,IP_Address,Prefix/Suffix_in_Domain,Tiny_URL,@_Symbol,URL_Length,Http/https_in_Domain,Depth_Of_URL,Redirection,Num_of_Dots,Num_of_Hyphens,Num_of_Underscore
511688,0,0,0,0,0,0,3,0,1,0,0
357310,0,0,0,0,0,0,3,0,3,0,0
110247,0,0,0,0,0,0,2,0,1,2,0
114875,0,0,0,0,0,0,2,0,1,0,0
470290,0,0,0,0,1,0,5,0,1,11,0
430635,0,0,0,0,0,0,1,0,2,0,0
90881,0,0,0,0,1,0,3,0,1,2,0
313097,0,0,0,0,1,0,6,0,1,4,2
508367,0,0,0,0,0,0,3,0,1,0,1
433963,0,0,0,0,0,0,2,0,2,0,0
498580,0,0,0,0,0,0,3,0,2,0,0
430853,0,0,0,0,0,0,2,0,1,0,0
88875,0,0,0,0,1,0,7,1,2,0,1
472778,0,0,0,0,1,0,3,0,2,0,1
50872,0,0,0,0,1,0,4,0,1,2,1
375280,0,0,0,0,1,0,4,0,1,4,0
204597,0,0,0,0,0,0,3,0,1,0,0
116559,0,0,0,0,0,0,3,0,1,0,0
374109,0,0,0,0,0,0,3,0,1,0,0
240893,0,0,0,0,0,0,3,0,2,0,0
237116,0,0,0,0,1,0,5,0,2,1,0
167271,0,0,0,0,0,0,4,0,1,0,0
339222,0,0,0,0,0,0,3,0,3,0,0
6356,0,1,0,0,1,0,3,0,7,1,0
490473,0,0,0,0,1,0,6,0,2,10,0
245226,0,0,0,0,0,0,1,0,2,0,0
195564,0,0,0,0,1,0,2,0,10,4,0
399872,0,0,0,0,0,0,1,0,1,0,0
336955,0,0,0,0,1,0,3,0,2,0,5
488144,0,0,0,0,1,0,3,0,1,1,1
511719,0,0,0,0,1,0,7,0,2,6,0
398959,0,0,0,0,0,0,1,0,1,3,0
237241,0,0,0,0,1,0,4,0,10,0,3
410609,0,0,0,0,0,0,3,0,2,0,0
233318,0,0,0,0,0,0,2,0,1,0,0
480334,0,0,0,0,1,0,4,0,5,0,0
337028,0,0,0,0,0,0,2,0,3,0,0
116467,0,0,0,0,0,0,3,0,3,0,0
476418,0,0,0,0,1,0,4,0,3,8,3
191531,0,0,0,0,1,0,5,0,2,6,0
521759,0,0,0,0,1,0,4,0,1,1,4
298492,0,0,0,0,0,0,2,0,1,0,1
96374,0,0,0,0,0,0,2,0,3,0,0
220534,0,0,0,0,0,0,2,0,1,1,0
139233,0,0,0,0,0,0,1,0,1,0,0
131415,0,0,0,0,0,0,2,0,2,0,0
1385,0,0,0,0,1,0,7,0,3,0,1
55221,0,0,0,0,1,0,3,0,1,6,2
455724,0,0,0,0,1,0,2,0,3,1,0
329502,0,0,0,0,0,0,3,0,2,2,0
479882,0,0,0,0,1,0,4,0,5,2,1
77407,0,0,0,0,0,0,3,0,1,0,1
385413,0,0,0,0,0,0,4,0,3,0,0
176451,0,0,0,0,1,0,2,0,2,3,4
115151,0,0,0,0,0,0,7,0,2,0,0
284920,0,0,0,0,1,0,1,0,2,12,0
14426,0,0,0,0,1,0,3,0,1,6,0
181714,0,0,0,0,0,0,3,0,2,0,0
427262,0,0,0,0,0,0,1,0,2,0,0
232180,0,0,0,0,0,0,1,0,1,0,0
240870,0,0,0,0,1,0,8,0,1,0,4
353294,0,0,0,0,1,0,3,0,2,0,0
328154,0,0,0,0,1,0,3,0,2,0,0
379464,0,0,0,0,1,0,2,0,2,10,0
405718,0,0,0,0,0,0,3,0,1,1,0
483130,0,0,0,0,1,0,4,0,1,5,2
111585,0,0,0,0,0,0,1,0,2,0,0
431777,0,0,0,0,0,0,1,0,1,0,0
239256,0,0,0,0,0,0,2,0,2,0,0
244019,0,0,0,0,0,0,5,0,2,1,0
61806,0,0,0,0,0,0,2,0,2,0,0
37194,0,0,0,0,0,0,4,0,3,0,0
313412,0,0,0,0,0,0,1,0,1,0,0
512767,0,0,0,0,1,0,9,0,3,3,1
251543,0,0,0,0,1,0,4,0,2,0,1
457820,0,0,0,0,0,0,2,0,2,0,0
188592,0,0,0,0,0,0,3,0,1,1,0
382933,0,0,0,0,1,0,7,0,2,5,0
475535,0,0,0,0,0,0,3,0,1,1,0
336646,0,0,0,0,1,0,6,0,2,0,0
143931,0,0,0,0,0,0,1,0,1,0,0
196407,0,0,0,0,0,0,1,0,1,0,0
72124,0,0,0,0,1,0,4,0,1,0,0
216871,0,0,0,0,1,0,4,0,2,4,0
206871,0,0,0,0,0,0,2,0,2,1,1
435835,0,0,0,0,0,0,3,0,1,1,0
283970,0,0,0,0,1,0,5,0,7,1,3
86839,0,0,0,0,1,0,3,0,2,4,0
479220,0,0,0,0,0,0,1,0,1,0,0
104776,0,0,0,0,0,0,4,0,2,0,0
486810,0,0,0,0,1,0,4,0,1,9,0
31888,0,0,0,0,0,0,2,0,1,0,1
288176,0,0,0,0,1,0,2,0,1,0,0
448054,0,0,0,0,0,0,2,0,1,3,0
478280,0,0,0,0,1,0,4,0,1,2,2
228851,0,0,0,0,0,0,4,0,2,0,0
134814,0,0,0,0,0,0,5,0,2,2,0
193411,0,0,0,0,0,0,3,0,1,1,0
416435,0,0,0,0,1,0,6,0,2,3,0
280080,0,0,0,0,0,0,2,0,2,0,0
319708,0,0,0,0,1,0,4,0,2,7,0
