,Label
0,1
1,1
2,0
3,0
4,0
5,1
6,0
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,0
24,1
25,1
26,1
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,0
54,0
55,1
56,1
57,0
58,0
59,0
60,1
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,0
73,1
74,0
75,0
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,0
89,1
90,1
91,1
92,0
93,1
94,0
95,0
96,0
97,1
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,0
106,0
107,0
108,1
109,1
110,1
111,0
112,1
113,0
114,1
115,1
116,1
117,0
118,0
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,0
130,1
131,0
132,1
133,1
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,1
145,1
146,1
147,1
148,0
149,0
150,0
151,1
152,1
153,1
154,0
155,1
156,1
157,0
158,0
159,1
160,1
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,1
184,1
185,0
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,1
227,0
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,1
238,1
239,1
240,0
241,1
242,1
243,1
244,0
245,0
246,0
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,1
256,1
257,0
258,1
259,0
260,1
261,0
262,0
263,1
264,1
265,1
266,0
267,0
268,1
269,1
270,1
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,1
279,0
280,1
281,0
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,0
292,0
293,0
294,0
295,1
296,0
297,1
298,1
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,1
308,1
309,1
310,0
311,1
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,1
323,0
324,0
325,1
326,0
327,1
328,0
329,1
330,0
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,0
339,0
340,1
341,1
342,1
343,1
344,0
345,1
346,0
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,1
359,1
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,0
368,0
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,1
377,0
378,0
379,1
380,0
381,0
382,1
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,0
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,1
412,1
413,0
414,0
415,0
416,1
417,1
418,0
419,1
420,0
421,0
422,1
423,1
424,0
425,0
426,0
427,1
428,1
429,1
430,1
431,0
432,1
433,0
434,0
435,1
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,1
446,1
447,1
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,1
458,1
459,0
460,1
461,1
462,0
463,1
464,1
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,0
478,1
479,0
480,1
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,1
489,0
490,0
491,0
492,0
493,1
494,1
495,0
496,1
497,0
498,0
499,1
500,1
501,0
502,0
503,0
504,1
505,1
506,0
507,0
508,0
509,0
510,0
511,1
512,1
513,0
514,0
515,1
516,0
517,0
518,1
519,0
520,1
521,1
522,0
523,1
524,0
525,1
526,0
527,0
528,0
529,0
530,1
531,1
532,0
533,1
534,1
535,0
536,0
537,0
538,1
539,1
540,1
541,1
542,1
543,1
544,0
545,0
546,0
547,1
548,0
549,0
550,0
551,0
552,1
553,1
554,1
555,0
556,1
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,1
565,1
566,0
567,1
568,0
569,1
570,1
571,1
572,1
573,1
574,1
575,0
576,0
577,1
578,1
579,0
580,0
581,0
582,1
583,0
584,0
585,1
586,0
587,0
588,1
589,0
590,1
591,0
592,1
593,1
594,0
595,0
596,1
597,0
598,1
599,0
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,0
608,0
609,0
610,1
611,0
612,1
613,0
614,0
615,0
616,1
617,1
618,1
619,1
620,1
621,1
622,0
623,1
624,1
625,0
626,0
627,1
628,1
629,1
630,0
631,1
632,0
633,0
634,0
635,0
636,0
637,1
638,1
639,1
640,0
641,1
642,0
643,1
644,0
645,0
646,1
647,1
648,0
649,1
650,0
651,1
652,0
653,0
654,1
655,1
656,0
657,0
658,0
659,0
660,1
661,0
662,0
663,1
664,1
665,1
666,0
667,0
668,0
669,1
670,0
671,1
672,1
673,0
674,1
675,1
676,1
677,0
678,0
679,0
680,1
681,1
682,1
683,0
684,1
685,0
686,1
687,1
688,0
689,0
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,0
700,0
701,1
702,0
703,0
704,0
705,0
706,0
707,1
708,1
709,1
710,1
711,0
712,1
713,1
714,1
715,1
716,0
717,0
718,1
719,0
720,1
721,1
722,1
723,1
724,1
725,0
726,1
727,1
728,1
729,0
730,0
731,1
732,1
733,1
734,0
735,1
736,1
737,0
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,0
747,1
748,0
749,0
750,0
751,0
752,1
753,0
754,0
755,1
756,1
757,1
758,1
759,0
760,0
761,0
762,0
763,1
764,1
765,0
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,0
774,0
775,0
776,0
777,1
778,1
779,0
780,1
781,0
782,1
783,1
784,0
785,0
786,1
787,0
788,0
789,1
790,0
791,0
792,0
793,0
794,1
795,1
796,1
797,1
798,0
799,0
800,0
801,1
802,1
803,1
804,1
805,0
806,1
807,1
808,0
809,0
810,1
811,1
812,1
