,IP_Address,Prefix/Suffix_in_Domain,Tiny_URL,@_Symbol,URL_Length,Http/https_in_Domain,Depth_Of_URL,Redirection,Num_of_Dots,Num_of_Hyphens,Num_of_Underscore
339530,0,0,0,0,1,0,1,0,2,4,0
424838,0,0,0,0,0,0,2,0,2,0,0
397634,0,0,0,0,1,0,5,0,3,0,0
205787,0,0,0,0,0,0,0,0,2,0,0
94385,0,0,0,0,0,0,2,0,2,2,0
159051,0,0,0,0,1,0,5,0,4,0,1
370366,0,0,0,0,0,0,0,0,1,0,0
374646,0,0,0,0,0,0,0,0,3,0,0
215409,0,0,0,0,1,0,3,0,3,0,0
271937,0,0,0,0,0,0,3,0,2,0,1
387351,0,1,0,0,0,0,0,0,2,1,0
82655,0,0,0,0,1,0,4,0,4,1,0
68276,0,0,0,0,0,0,1,0,2,0,0
445547,0,0,0,0,0,0,0,0,2,0,0
284933,0,0,0,0,1,0,1,0,4,6,0
75547,0,0,0,0,1,0,3,0,4,0,0
327180,0,0,0,0,0,0,1,0,1,0,0
140855,0,0,0,0,1,0,3,1,6,0,0
43810,0,0,0,0,1,0,3,0,2,1,0
356970,0,0,0,0,1,0,3,0,2,0,3
238547,0,0,0,0,1,0,3,0,3,0,0
182985,0,0,0,0,1,0,3,0,4,4,0
179079,0,0,0,0,0,0,4,1,1,1,0
18145,0,0,0,0,0,0,1,0,3,0,0
237899,0,1,0,0,0,0,0,0,1,1,0
410693,0,0,0,0,0,0,2,0,3,0,1
304693,0,0,0,0,0,0,1,0,2,0,0
191712,0,0,0,0,1,0,2,0,3,0,3
421612,0,0,0,0,0,0,2,0,3,0,0
292964,0,0,0,0,0,0,0,0,2,0,0
125411,0,0,0,0,1,0,5,0,2,6,0
208427,0,0,0,0,0,0,2,0,2,0,0
122587,0,0,0,0,0,0,0,0,2,0,0
37438,0,0,0,0,0,0,2,0,2,0,0
308416,0,0,0,0,1,0,3,0,2,5,0
66960,0,0,0,0,1,0,3,0,2,1,0
174417,0,0,0,0,1,0,3,0,2,0,5
161608,0,0,0,0,0,0,5,0,2,0,0
189746,0,0,0,0,0,0,2,0,2,1,0
55540,0,0,0,0,0,0,1,0,3,0,0
340217,0,0,0,0,0,0,2,0,3,0,1
307130,0,0,0,0,1,0,3,0,2,4,0
343796,0,0,0,0,0,0,1,0,1,0,0
326023,0,0,0,0,1,0,3,0,4,0,0
