,IP_Address,Prefix/Suffix_in_Domain,Tiny_URL,@_Symbol,URL_Length,Http/https_in_Domain,Depth_Of_URL,Redirection,Num_of_Dots,Num_of_Hyphens,Num_of_Underscore
160470,0,0,0,0,0,0,2,0,2,0,0
18951,0,0,0,0,1,0,5,0,2,7,0
484495,0,0,0,0,0,0,3,0,1,0,0
81331,0,0,0,0,1,0,6,0,2,8,0
90016,0,0,0,0,1,0,4,0,2,4,1
213412,0,0,0,0,0,0,3,0,2,0,0
225106,0,0,0,0,0,0,4,0,1,0,0
27693,0,0,0,0,1,0,5,0,3,0,0
276310,0,0,0,0,0,0,3,0,1,0,1
87925,0,0,0,0,0,0,2,0,2,0,0
493921,0,0,0,0,0,0,2,0,1,0,0
484614,0,0,0,0,0,0,4,0,1,0,3
314633,0,0,0,0,0,0,5,0,3,0,2
123667,0,0,0,0,1,0,4,0,1,4,0
262183,0,0,0,0,1,0,4,0,2,13,0
324534,0,0,0,0,1,0,4,0,1,15,0
208315,0,0,0,0,0,0,2,0,2,0,0
10841,0,0,0,0,0,0,1,0,1,0,0
16962,0,0,0,0,0,0,1,0,2,0,0
38437,0,0,0,0,0,0,3,0,2,0,0
461361,0,0,0,0,1,0,4,0,1,2,0
218903,0,0,0,0,0,0,1,0,1,0,0
409197,0,0,0,0,0,0,3,0,2,0,1
54621,0,0,0,0,0,0,3,0,3,0,2
296597,0,0,0,0,1,0,2,0,3,0,0
132452,0,0,0,0,0,0,3,0,2,0,0
73561,0,0,0,0,0,0,1,0,1,0,0
128318,0,0,0,0,0,0,0,0,2,0,0
466602,0,0,0,0,1,0,4,0,1,4,0
303225,0,0,0,0,0,0,2,0,4,1,0
118503,0,0,0,0,1,0,4,0,1,2,0
233029,0,0,0,0,0,0,3,0,4,0,0
23639,0,0,0,0,1,0,6,0,4,2,0
482643,0,0,0,0,1,0,3,0,2,0,6
504830,0,0,0,0,0,0,3,0,3,0,0
218486,0,0,0,0,0,0,3,0,1,4,0
375657,0,0,0,0,1,0,6,0,4,1,0
296977,0,0,0,0,0,0,2,0,3,2,0
251452,0,0,0,0,0,0,1,0,1,0,0
215487,0,0,0,0,1,0,3,0,1,7,0
184268,0,0,0,0,0,0,2,0,2,1,0
16841,0,0,0,1,0,0,4,0,1,0,0
30222,0,0,0,0,0,0,1,0,1,0,0
366751,0,0,0,0,1,0,5,0,2,0,3
380318,0,0,0,0,0,0,1,0,1,0,0
399065,0,0,0,0,0,0,3,0,2,0,0
113032,0,0,0,0,0,0,1,0,1,0,0
321267,0,0,0,0,0,0,3,0,3,2,0
217382,0,0,0,0,0,0,4,0,2,0,0
349737,0,0,0,0,1,0,3,0,1,9,0
451746,0,0,0,0,1,0,4,0,1,0,0
8586,0,0,0,0,0,0,3,0,1,0,0
511637,0,0,0,0,1,0,4,0,1,3,0
263549,0,0,0,0,0,0,1,0,1,0,0
139389,0,0,0,0,0,0,1,0,1,1,0
216559,0,0,0,0,0,0,4,0,1,1,0
192075,0,0,0,0,0,0,2,0,4,0,0
240393,0,0,0,0,1,0,4,0,2,4,0
125309,0,0,0,0,1,0,2,0,1,1,3
179066,0,0,0,0,1,0,2,0,2,1,0
481152,0,0,0,0,1,0,2,0,12,0,0
351484,0,0,0,0,1,0,4,0,2,6,0
246939,0,0,0,0,0,0,4,0,1,1,0
3068,0,0,0,0,0,0,4,0,2,1,0
210684,0,0,0,0,0,0,2,0,2,0,0
196286,0,0,0,0,0,0,3,0,4,0,0
430906,0,0,0,0,0,0,3,0,2,2,1
253666,0,0,0,0,1,0,5,0,3,0,1
274322,0,0,0,0,0,0,3,0,1,3,0
339234,0,0,0,0,0,0,2,0,2,0,0
100762,0,0,0,0,0,0,3,0,1,0,0
278957,0,0,0,0,1,0,3,0,3,3,0
52511,0,0,0,0,1,0,2,0,3,4,0
259836,0,0,0,0,1,0,3,0,14,1,1
441105,0,0,0,0,1,0,7,0,2,1,0
335635,0,0,0,0,0,0,5,0,2,2,0
29331,0,0,0,0,0,0,3,0,1,3,0
263719,0,0,0,0,0,0,2,0,1,2,0
240209,0,0,0,0,0,0,2,0,2,0,0
466142,0,0,0,0,1,0,2,0,2,6,0
233999,0,0,0,1,1,0,3,0,4,0,0
419043,0,0,0,0,1,0,9,0,5,4,1
447257,0,0,0,0,0,0,1,0,1,0,0
175310,0,1,0,0,1,0,1,0,10,3,0
320605,0,0,0,0,1,0,2,0,7,1,0
457829,0,0,0,0,0,0,1,0,2,0,0
296283,0,0,0,0,0,0,1,0,2,2,0
485242,0,0,0,0,1,0,3,0,1,6,0
36582,0,0,0,0,0,0,2,0,2,0,0
262642,0,0,0,0,0,0,4,0,1,3,0
509597,0,0,0,0,1,0,5,0,1,0,0
267678,0,0,0,0,1,0,4,0,1,6,0
463099,0,0,0,0,1,0,4,0,1,3,0
451766,0,0,0,0,0,0,3,0,2,0,2
352735,0,0,0,0,0,0,4,0,1,0,0
186514,0,0,0,0,0,0,3,0,2,0,0
395326,0,0,0,0,1,0,3,0,3,0,3
202246,0,0,0,0,1,0,4,0,2,0,0
267093,0,0,0,0,1,0,2,0,6,0,0
412189,0,0,0,0,1,0,5,0,1,8,0
93994,0,0,0,0,0,0,4,0,1,2,0
182811,0,0,0,0,1,0,4,0,2,1,0
436078,0,0,0,0,1,0,5,0,3,1,1
444409,0,0,0,0,1,0,3,0,2,0,2
517198,0,0,0,0,0,0,4,0,2,1,0
