,IP_Address,Prefix/Suffix_in_Domain,Tiny_URL,@_Symbol,URL_Length,Http/https_in_Domain,Depth_Of_URL,Redirection,Num_of_Dots,Num_of_Hyphens,Num_of_Underscore
239725,0,0,0,0,1,0,4,0,1,3,0
426663,0,0,0,0,0,0,3,0,2,0,0
121431,0,0,0,0,0,0,3,0,1,3,0
366568,0,0,0,0,0,0,3,0,1,1,0
269369,0,0,0,0,1,0,2,0,8,2,0
201723,0,0,0,0,1,0,4,0,1,9,0
503206,0,0,0,0,1,0,3,0,1,13,0
288610,0,0,0,0,1,0,3,0,2,0,2
56505,0,0,0,0,1,0,3,0,2,1,0
319306,0,0,0,0,1,0,3,0,1,8,2
388187,0,0,0,0,0,0,1,0,1,0,0
467390,0,0,0,0,0,0,3,0,2,0,0
205111,0,0,0,0,1,0,2,0,5,1,0
104186,0,0,0,0,0,0,3,0,2,0,2
453952,0,0,0,0,0,0,3,0,2,0,0
451648,0,0,0,0,0,0,2,0,2,0,0
55352,0,0,0,0,0,0,3,0,1,0,1
311196,0,0,0,0,1,0,5,0,3,6,0
283361,0,0,0,0,0,0,3,0,2,0,2
331645,0,0,0,0,1,0,2,0,2,5,0
282306,0,0,0,0,0,0,3,0,3,0,1
63171,0,0,0,0,1,0,4,0,1,0,0
27743,0,0,0,0,0,0,4,0,1,0,1
54892,0,0,0,0,0,0,2,0,1,0,0
289906,0,0,0,0,0,0,4,0,1,0,0
118557,0,0,0,0,1,0,4,0,1,12,0
452606,0,0,0,0,0,0,5,0,1,1,0
454358,0,0,0,0,0,0,1,0,1,0,0
267518,0,0,0,0,1,0,3,0,3,6,0
508930,0,0,0,0,1,0,6,0,1,2,0
418729,0,0,0,0,0,0,1,0,1,1,0
334573,0,0,0,0,1,0,3,0,2,0,1
413932,0,0,0,0,1,0,6,0,2,0,0
215888,0,0,0,0,0,0,4,0,1,0,1
135576,0,0,0,0,1,0,4,0,2,0,1
313659,0,0,0,0,1,0,4,0,1,0,3
212103,0,0,0,0,1,0,5,0,1,4,0
484302,0,0,0,0,1,0,4,0,3,1,0
254271,0,0,0,0,1,0,3,0,2,0,0
29619,0,0,0,0,0,0,1,0,2,0,0
266089,0,0,0,0,0,0,2,0,3,0,0
159188,0,0,0,0,1,0,2,0,2,0,0
299474,0,0,0,0,0,0,3,0,1,3,0
228483,0,0,0,0,1,0,4,0,3,10,3
407184,0,0,0,0,0,0,2,0,2,0,0
292106,0,0,0,0,0,0,2,0,1,0,0
319026,0,0,0,0,1,0,2,0,2,4,1
300168,0,0,0,0,0,0,1,0,1,0,0
362067,0,0,0,0,1,0,1,0,2,0,4
514932,0,0,0,0,1,0,2,0,5,1,0
72821,0,0,0,0,1,0,2,0,6,1,0
29921,0,0,0,0,0,0,4,0,1,0,0
400758,0,0,0,0,1,0,3,0,2,5,0
61214,0,0,0,0,0,0,3,0,1,0,0
452260,0,0,0,0,0,0,5,0,1,1,0
358507,0,0,0,0,1,0,3,0,3,6,0
103379,0,0,0,0,1,0,3,0,1,12,0
192319,0,0,0,0,0,0,1,0,1,0,0
134269,0,0,0,0,1,0,3,0,1,24,0
112182,0,0,0,0,0,0,1,0,1,0,0
256677,0,0,0,0,0,0,7,0,2,1,1
457799,0,0,0,0,0,0,2,0,2,0,0
406519,0,0,0,0,0,0,3,0,2,0,0
203306,0,0,0,0,1,0,6,0,1,12,0
491956,0,0,0,0,0,0,1,0,1,0,0
195323,0,0,0,0,0,0,4,0,1,4,0
173907,0,0,0,0,0,0,2,0,2,2,0
382597,0,0,0,0,1,0,5,0,1,9,0
129884,0,0,0,0,1,0,2,0,2,5,0
190101,0,0,0,0,0,0,4,0,1,3,0
108961,0,0,0,0,0,0,1,0,1,0,0
307642,0,0,0,0,1,0,3,0,2,0,6
261714,0,0,0,0,0,0,3,0,1,0,1
312233,0,0,0,0,1,0,4,0,3,7,2
319304,0,0,0,0,0,0,2,0,1,1,0
172475,0,0,0,0,0,0,1,0,1,0,0
227682,0,0,0,0,1,0,3,0,1,14,0
281818,0,0,0,0,1,0,5,0,1,6,0
260054,0,0,0,0,1,0,4,0,3,4,0
492945,0,0,0,0,1,0,9,0,2,7,1
384328,0,0,0,0,0,0,2,0,2,0,0
98468,0,0,0,0,1,0,4,0,1,21,1
6566,0,0,0,0,0,0,2,0,1,1,0
451478,0,0,0,0,0,0,3,0,2,0,0
73905,0,0,0,0,1,0,2,0,7,0,0
371143,0,0,0,0,0,0,4,0,1,3,0
226606,0,0,0,0,1,0,3,0,2,3,0
515641,0,0,0,0,0,0,2,0,2,0,0
477015,0,0,0,0,0,0,3,0,2,2,1
410396,0,0,0,0,1,0,2,0,2,3,2
474053,0,0,0,0,1,0,5,0,2,9,0
231121,0,0,0,0,0,0,2,0,2,0,0
166467,0,0,0,0,1,0,3,0,1,6,0
322001,0,0,0,0,0,0,2,0,3,1,1
