,Label
0,0
1,1
2,1
3,1
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,1
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,1
76,0
77,1
78,0
79,1
80,1
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,1
107,0
108,1
109,1
110,1
111,0
112,0
113,1
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,0
133,0
134,1
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,0
152,0
153,1
154,0
155,0
156,1
157,1
158,1
159,1
160,0
161,0
162,1
163,0
164,1
165,1
166,1
167,1
168,0
169,1
170,0
171,1
172,0
173,0
174,0
175,1
176,1
177,1
178,0
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,1
199,0
200,1
201,0
202,1
203,1
204,0
205,0
206,0
207,1
208,0
209,1
210,0
211,1
212,1
213,1
214,1
215,0
216,1
217,1
218,0
219,0
220,0
221,1
222,0
223,0
224,1
225,0
226,0
227,0
228,0
229,1
230,0
231,1
232,1
233,1
234,0
235,0
236,1
237,1
238,0
239,1
240,0
241,1
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,0
260,0
261,1
262,1
263,1
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,0
272,1
273,0
274,0
275,0
276,0
277,1
278,1
279,0
280,1
281,0
282,1
283,0
284,0
285,1
286,1
287,1
288,0
289,0
290,1
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,1
311,0
312,1
313,0
314,0
315,0
316,0
317,1
318,0
319,0
320,1
321,1
322,0
323,0
324,0
325,0
326,1
327,0
328,1
329,0
330,1
331,1
332,0
333,0
334,1
335,0
336,1
337,0
338,0
339,0
340,1
341,1
342,1
343,1
344,0
345,1
346,1
347,0
348,1
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,1
357,0
358,1
359,1
360,1
361,0
362,0
363,0
364,1
365,0
366,1
367,0
368,0
369,1
370,1
371,0
372,0
373,1
374,0
375,0
376,0
377,1
378,1
379,1
380,1
381,1
382,0
383,1
384,1
385,1
386,1
387,1
388,0
389,0
390,1
391,1
392,0
393,1
394,0
395,0
396,0
397,1
398,1
399,1
400,0
401,0
402,1
403,0
404,0
405,0
406,1
407,1
408,1
409,1
410,1
411,1
412,0
413,0
414,1
415,0
416,1
417,0
418,1
419,0
420,1
421,1
422,1
423,0
424,1
425,1
426,0
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,1
435,1
436,0
437,0
438,0
439,0
440,1
441,0
442,0
443,0
444,1
445,0
446,0
447,1
448,0
449,1
450,0
451,0
452,0
453,1
454,1
455,1
456,0
457,1
458,0
459,0
460,0
461,1
462,0
463,1
464,1
465,1
466,1
467,0
468,1
469,1
470,0
471,1
472,1
473,1
474,0
475,0
476,0
477,1
478,1
479,0
480,1
481,0
482,1
483,1
484,0
485,0
486,1
487,0
488,1
489,0
490,1
491,1
492,1
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,0
502,1
503,0
504,1
505,0
506,0
507,1
508,1
509,1
510,0
511,0
512,0
513,1
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,0
522,0
523,1
524,0
525,0
526,1
527,0
528,0
529,0
530,0
531,1
532,0
533,1
534,1
535,0
536,0
537,0
538,1
539,0
540,1
541,1
542,0
543,1
544,1
545,1
546,0
547,1
548,1
549,1
550,0
551,0
552,1
553,1
554,1
555,0
556,1
557,1
558,1
559,1
560,0
561,0
562,1
563,1
564,1
565,1
566,0
567,1
568,1
569,1
570,0
571,1
572,1
573,0
574,0
575,1
576,1
577,0
578,0
579,1
580,1
581,1
582,0
583,1
584,1
585,1
586,0
587,0
588,0
589,0
590,0
591,1
592,0
593,0
594,0
595,1
596,1
597,1
598,0
599,1
600,0
601,0
602,0
603,1
604,0
605,1
606,1
607,1
608,1
609,1
610,0
611,0
612,0
613,1
614,1
615,0
616,1
617,1
618,0
619,0
620,0
621,1
622,1
623,0
624,0
625,1
626,1
627,1
628,1
629,0
630,0
631,1
632,1
633,1
634,1
635,0
636,1
637,0
638,0
639,0
640,1
641,1
642,0
643,0
644,0
645,1
646,1
647,1
648,1
649,0
650,0
651,1
652,1
653,1
654,1
655,1
656,1
657,0
658,1
659,1
660,0
661,0
662,1
663,0
664,0
665,1
666,0
667,1
668,1
669,0
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,0
678,0
679,1
680,0
681,1
682,0
683,0
684,1
685,0
686,0
687,1
688,0
689,1
690,0
691,0
692,0
693,0
694,1
695,1
696,0
697,0
698,0
699,1
700,0
701,0
702,0
703,1
704,0
705,0
706,1
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,1
715,1
716,1
717,1
718,1
719,0
720,1
721,1
722,1
723,1
724,0
725,1
726,0
727,0
728,1
729,1
730,0
731,1
732,0
733,1
734,0
735,0
736,0
737,0
738,0
739,0
740,1
741,0
742,0
743,0
744,1
745,0
746,1
747,1
748,0
749,0
750,1
751,0
752,1
753,0
754,1
755,1
756,0
757,1
758,0
759,1
760,1
761,1
762,0
763,1
764,1
765,0
766,0
767,0
768,0
769,0
770,0
771,1
772,1
773,0
774,1
775,1
776,1
777,1
778,0
779,1
780,1
781,1
782,1
783,0
784,1
785,0
786,1
787,0
788,1
789,1
790,1
791,0
792,0
793,0
794,0
795,1
796,0
797,0
798,0
799,0
800,0
801,1
802,1
803,0
804,0
805,0
806,0
807,1
808,0
809,0
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,0
820,0
821,1
822,1
823,0
824,1
825,0
826,1
827,0
828,0
829,1
830,1
831,1
832,0
833,0
834,1
835,0
836,0
837,1
838,0
839,0
840,1
841,0
842,1
843,0
844,1
845,1
846,0
847,1
848,1
849,0
850,0
851,0
852,1
853,1
854,0
855,1
856,0
857,0
858,0
859,0
860,0
861,1
862,1
863,0
864,1
865,0
866,1
867,0
868,0
869,1
870,0
871,1
872,1
873,1
874,0
875,1
876,0
877,0
878,0
879,0
880,0
881,1
882,0
883,1
884,0
885,0
886,1
887,1
888,0
889,0
890,1
891,0
892,1
893,0
894,1
895,0
896,0
897,0
898,1
899,0
900,1
901,1
902,1
903,1
904,0
905,1
906,1
907,0
908,1
909,0
910,1
911,0
912,1
913,1
914,1
915,0
916,0
917,0
918,0
919,1
920,0
921,0
922,1
923,0
924,1
925,0
926,1
927,0
928,1
929,0
930,1
931,0
932,1
933,0
934,1
935,0
936,1
937,1
938,0
939,1
940,1
941,0
942,1
943,0
944,1
945,1
946,1
947,1
948,1
949,0
950,0
951,0
952,1
953,0
954,1
955,0
956,1
957,1
958,0
959,0
960,1
961,1
962,0
963,1
964,1
965,1
966,1
967,1
968,1
969,0
970,0
971,0
972,0
973,1
974,1
975,0
976,1
977,0
978,0
979,1
980,0
981,1
982,1
983,0
984,1
985,1
986,1
987,0
988,1
989,1
990,1
991,0
992,1
993,0
994,0
995,1
996,1
997,0
998,0
999,1
1000,0
1001,0
1002,1
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,0
1010,1
1011,1
1012,0
1013,1
1014,0
1015,0
1016,1
1017,1
1018,0
1019,1
1020,0
1021,0
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,0
1029,1
1030,1
1031,1
1032,1
1033,0
1034,1
1035,0
1036,1
1037,1
1038,0
1039,0
1040,0
1041,1
1042,0
1043,0
1044,1
1045,0
1046,1
1047,1
1048,0
1049,0
1050,1
1051,1
1052,1
1053,1
1054,0
1055,1
1056,0
1057,1
1058,1
1059,1
1060,0
