,IP_Address,Prefix/Suffix_in_Domain,Tiny_URL,@_Symbol,URL_Length,Http/https_in_Domain,Depth_Of_URL,Redirection,Num_of_Dots,Num_of_Hyphens,Num_of_Underscore
160503,0,0,0,0,1,0,6,0,2,5,0
19090,0,0,0,0,1,0,2,0,1,0,0
484438,0,0,0,0,1,0,2,0,2,0,4
81346,0,0,0,0,1,0,2,0,3,3,0
89946,0,0,0,0,0,0,1,0,4,0,0
214170,0,0,0,0,0,0,3,0,2,0,0
224988,0,0,0,0,0,0,1,0,1,0,0
27789,0,0,0,0,0,0,2,0,1,0,0
276143,0,0,0,0,0,0,2,0,2,0,0
87894,0,0,0,0,0,0,1,0,1,0,0
493957,0,0,0,0,1,0,4,0,2,6,0
484566,0,0,0,0,1,0,11,0,4,6,1
314499,0,0,0,0,0,0,1,0,3,0,0
123692,0,0,0,0,1,0,3,0,2,1,0
262151,0,0,0,0,0,0,2,0,1,0,0
324489,0,0,0,0,1,0,6,0,1,1,0
208892,0,0,0,0,0,0,1,0,1,0,0
10928,0,0,0,0,1,0,3,0,1,4,0
16484,0,0,0,0,0,0,4,0,3,0,0
38508,0,0,0,0,0,0,1,0,2,0,0
461542,0,0,0,0,0,0,2,0,2,0,0
218713,0,0,0,0,1,0,5,0,2,10,0
408989,0,0,0,0,1,0,5,0,7,1,2
54488,0,0,0,0,0,0,2,0,2,0,0
296419,0,0,0,0,1,0,4,0,1,10,0
132420,0,0,0,0,1,0,5,0,2,5,0
73610,0,0,0,0,0,0,3,0,3,0,0
128319,0,0,0,0,1,0,3,0,1,1,0
466520,0,0,0,0,0,0,1,0,2,0,0
303980,0,0,0,0,0,0,3,0,2,0,0
118554,0,0,0,0,0,0,3,0,2,0,2
233338,0,0,0,0,1,0,3,0,2,1,2
23161,0,0,0,0,0,0,2,0,2,0,0
482591,0,0,0,0,0,0,1,0,1,0,0
504680,0,0,0,0,0,0,1,0,3,0,0
218296,0,0,0,0,0,0,3,0,1,1,0
376744,0,0,0,0,0,0,1,0,2,1,0
296800,0,0,0,0,0,0,3,0,1,0,2
251382,0,0,0,0,0,0,5,0,2,0,0
215294,0,0,0,0,1,0,4,0,2,5,0
184158,0,0,0,0,1,0,4,0,2,17,1
16960,0,0,0,0,0,0,2,0,1,1,0
30377,0,0,0,0,0,0,2,0,2,0,0
366464,0,0,0,0,1,0,2,0,1,4,0
380060,0,0,0,0,0,0,3,0,1,1,0
398837,0,0,0,0,1,0,4,0,2,2,1
113068,0,0,0,0,0,0,1,0,1,0,0
321167,0,0,0,0,0,0,1,0,1,0,0
217180,0,0,0,0,0,0,2,0,1,1,0
349575,0,0,0,0,1,0,4,0,4,1,0
451650,0,0,0,0,0,0,2,0,3,2,0
8673,0,0,0,0,1,0,4,0,1,4,0
511724,0,0,0,0,0,0,3,0,3,0,0
263902,0,0,0,0,0,0,1,0,1,0,0
139377,0,0,0,0,1,0,4,0,3,0,0
216343,0,0,0,0,1,0,3,0,1,7,0
192912,0,0,0,0,0,0,4,0,5,0,0
240307,0,0,0,0,0,0,3,0,2,1,0
125345,0,0,0,0,1,0,3,0,2,0,4
179462,0,0,0,0,1,0,3,0,3,3,0
481099,0,0,0,0,1,0,3,0,2,3,0
351309,0,0,0,0,0,0,5,0,2,0,0
246890,0,0,0,0,0,0,2,0,2,0,0
3055,0,0,0,0,0,0,2,0,2,0,1
210550,0,0,0,0,0,0,2,0,2,0,0
196118,0,0,0,0,1,0,5,0,2,4,0
430709,0,0,0,0,0,0,1,0,1,0,0
253591,0,0,0,0,1,0,8,0,1,0,6
274195,0,0,0,0,0,0,2,0,1,4,0
339580,0,0,0,0,1,0,2,0,2,0,0
100697,0,0,0,0,0,0,3,0,3,0,2
278787,0,0,0,0,1,0,3,0,3,6,0
52548,0,0,0,0,1,0,5,0,2,1,0
259837,0,0,0,0,1,0,3,0,4,1,0
441919,0,0,0,0,0,0,1,0,1,3,0
335596,0,0,0,0,1,0,2,0,1,1,1
29450,0,0,0,0,0,0,4,0,1,1,0
263648,0,0,0,0,1,0,5,0,1,17,0
240642,0,0,0,0,0,0,2,0,3,0,0
