,IP_Address,Prefix/Suffix_in_Domain,Tiny_URL,@_Symbol,URL_Length,Http/https_in_Domain,Depth_Of_URL,Redirection,Google_Index,WHOIS_Domain,DNS_Record,Registration_Length,Num_of_Dots,Num_of_Hyphens,Num_of_Underscore
4453,0,0,0,0,0,0,0,0,0,0,0,269,1,0,0
4016,1,0,0,0,1,0,2,0,0,0,0,271,3,0,2
6078,0,0,0,0,1,0,1,0,1,0,0,256,3,0,0
8025,0,1,0,0,0,0,3,0,0,0,0,467,2,1,0
10217,0,0,0,0,0,0,0,0,0,0,0,537,2,0,0
8415,0,0,1,0,1,0,3,0,0,0,0,371,3,3,0
6906,0,0,0,0,0,0,0,0,0,0,0,1398,2,0,0
1253,0,0,0,0,0,0,0,0,0,0,0,59,2,0,0
7648,0,0,0,0,1,0,3,0,1,0,0,278,3,4,0
1500,0,0,0,0,0,0,2,0,1,0,0,176,2,0,0
10908,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0
3676,0,0,0,0,1,0,1,0,1,0,0,286,3,3,0
10866,0,0,0,0,1,0,4,0,0,0,0,0,5,0,0
32,1,0,0,0,1,0,2,0,0,0,0,911,2,0,0
9404,1,0,0,0,1,0,3,0,1,0,0,1250,4,0,0
2398,0,0,1,0,1,0,1,0,0,0,0,138,3,4,0
4887,0,0,0,0,1,0,1,0,0,0,0,3123,3,2,0
10676,1,0,0,0,1,0,5,0,1,0,0,160,2,0,0
9933,0,0,0,0,0,0,0,0,0,0,0,312,2,0,0
10476,0,0,0,0,0,0,1,0,1,0,0,210,2,0,0
234,0,0,0,0,0,0,1,0,0,0,0,712,3,0,0
3633,1,0,0,0,1,0,4,0,1,0,0,315,6,0,2
8513,0,0,0,0,0,0,0,0,0,0,0,279,2,0,0
4124,0,0,0,0,0,0,2,0,0,0,0,147,3,0,0
5023,1,0,0,0,1,0,2,0,1,0,0,25,5,0,2
217,0,1,0,0,1,0,4,0,1,0,0,401,2,1,0
10692,0,1,0,0,1,0,3,0,1,0,0,545,4,1,0
620,1,0,0,0,0,0,3,0,1,0,0,148,3,0,0
6804,0,1,0,1,1,0,7,0,1,0,0,140,3,1,3
2426,0,1,0,0,0,0,2,0,0,0,0,55,1,1,0
8365,1,0,0,0,1,0,1,0,1,0,0,264,2,3,0
3746,0,0,0,0,0,0,3,0,1,0,0,147,3,0,0
900,0,0,0,0,0,0,0,0,1,0,0,242,2,0,0
3708,0,1,0,0,0,0,1,0,0,0,0,217,2,1,0
10775,0,0,0,0,0,0,3,0,1,0,0,109,2,0,0
7740,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0
2850,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
3305,0,0,0,0,0,0,1,0,0,0,0,449,2,1,0
4921,0,0,0,0,0,0,2,0,0,0,0,13,3,0,1
