,IP_Address,Prefix/Suffix_in_Domain,Tiny_URL,@_Symbol,URL_Length,Http/https_in_Domain,Depth_Of_URL,Redirection,Google_Index,WHOIS_Domain,DNS_Record,Registration_Length,Num_of_Dots,Num_of_Hyphens,Num_of_Underscore
7101,1,0,0,0,0,0,3,0,1,0,0,62,1,0,0
2755,1,1,0,0,1,0,2,0,1,0,0,25,4,1,2
40,0,0,0,0,0,0,1,0,1,0,0,359,2,0,0
2448,0,1,0,0,0,0,3,0,1,0,0,706,2,1,0
1391,0,0,0,0,0,0,0,0,0,0,0,677,3,0,0
5751,0,0,0,0,0,0,2,0,0,0,0,1305,2,0,0
6673,0,0,0,0,1,0,0,0,0,0,0,588,2,0,0
11287,0,0,0,0,0,0,0,0,0,0,0,91,2,0,0
10760,0,1,0,0,1,0,0,1,0,0,0,3491,3,1,0
7774,0,0,0,0,0,0,1,0,1,0,0,18,2,0,0
10246,1,0,0,0,1,0,2,0,0,0,0,735,2,3,0
11170,0,0,0,0,0,0,0,0,0,0,0,290,2,0,0
2165,0,0,0,0,0,0,1,0,1,0,0,2430,2,0,0
1929,0,1,0,0,0,0,0,0,0,0,0,750,2,1,0
940,0,0,0,0,0,0,1,0,0,0,0,627,3,0,0
11048,1,1,1,0,1,0,5,0,0,0,0,381,2,1,3
3009,0,0,0,0,0,0,2,0,1,0,0,324,3,0,0
6523,0,1,0,0,0,0,2,0,1,0,0,279,1,1,0
5958,0,0,0,0,0,0,0,0,0,0,0,1875,2,0,0
10049,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
8258,0,1,0,0,0,0,1,0,1,0,0,151,1,1,0
9901,0,0,0,0,0,0,0,0,1,0,0,644,2,0,0
5469,0,0,0,0,1,0,1,0,1,0,0,3380,3,0,5
378,0,0,0,0,0,0,1,0,1,0,0,258,2,3,0
1146,1,0,0,0,1,0,2,0,1,0,0,6,6,1,3
752,0,0,0,0,1,0,4,0,1,0,0,195,3,0,4
3063,0,0,0,0,0,0,0,0,0,0,0,431,2,0,0
2522,0,0,0,0,1,0,3,0,0,0,0,2082,2,1,0
11371,0,0,0,0,1,0,3,0,0,0,0,2975,4,0,0
8576,1,1,0,0,1,0,2,0,1,0,0,25,4,1,2
5103,0,0,0,0,0,0,0,0,0,0,0,411,2,0,0
1579,0,0,0,1,1,0,2,0,1,1,0,0,4,0,0
7001,0,0,0,0,0,0,2,0,1,0,0,20,2,0,0
8897,0,0,0,0,1,0,0,0,0,0,0,270,3,0,0
7863,0,0,0,0,0,0,1,0,0,0,0,132,2,2,0
1451,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
4509,0,0,0,0,0,0,0,0,0,0,0,3076,2,0,0
1019,0,0,0,0,0,0,0,0,0,0,0,247,2,0,0
5546,1,0,0,0,1,0,1,0,0,0,0,333,6,4,2
7071,0,0,0,0,1,0,3,0,0,0,0,511,2,8,0
9960,0,0,0,0,0,0,1,0,1,0,0,644,3,0,0
7694,0,0,0,0,1,0,2,0,1,0,0,615,3,0,1
7574,1,0,0,0,1,0,2,0,1,0,0,246,2,0,0
10061,0,0,1,0,0,0,1,0,1,0,0,288,2,0,0
1461,0,0,0,0,0,0,2,0,0,0,0,2975,2,0,0
7244,0,0,0,0,0,0,0,0,0,0,0,1050,2,0,0
2936,0,0,0,0,0,0,1,0,1,0,0,130,2,0,2
11329,0,1,0,0,0,0,3,0,1,0,0,214,2,2,0
7510,0,0,0,0,0,0,3,0,1,0,0,194,2,0,0
5399,0,0,0,0,0,0,1,0,1,0,0,1861,2,0,0
1298,1,0,1,0,1,0,2,0,1,0,0,228,5,2,0
7661,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
103,1,0,0,0,1,0,1,0,1,0,0,24,2,0,0
5644,0,1,0,0,0,0,0,0,0,1,0,-1,2,1,0
5350,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0
7905,0,1,0,0,1,0,3,0,0,0,0,167,2,3,0
839,1,0,0,0,0,0,1,0,1,0,0,656,1,2,0
2026,0,1,0,0,0,0,1,0,1,0,0,325,2,1,0
10434,0,0,1,0,0,0,1,0,1,0,0,134,1,0,0
1133,1,0,0,1,0,0,2,0,1,1,1,0,4,0,0
8346,0,0,0,0,1,0,1,0,0,0,0,369,3,3,0
10362,0,0,0,0,0,0,2,0,0,0,0,3502,2,0,0
5323,0,1,0,0,0,0,0,0,0,0,0,257,2,1,0
3880,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
7783,0,0,0,0,0,0,0,0,0,0,0,79,2,0,0
5409,0,1,0,0,1,0,3,0,0,0,0,242,2,5,0
3682,0,0,0,0,1,0,5,0,0,0,0,507,2,4,0
2820,0,0,0,0,1,0,2,0,0,0,0,139,2,0,3
10340,0,0,0,0,0,0,2,0,0,0,0,1887,2,0,0
8299,0,0,0,0,0,0,1,0,0,0,0,2508,2,0,0
3201,0,0,0,0,0,0,0,0,0,0,0,355,2,0,0
7563,0,0,0,0,0,0,0,0,0,0,0,1041,2,0,0
10381,0,0,1,0,0,0,0,0,0,0,0,114,2,0,0
6129,0,1,0,0,1,0,3,0,1,0,0,144,2,1,0
10965,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
3893,0,0,0,0,0,0,1,0,1,0,0,63,2,0,0
1440,0,0,0,0,0,0,0,0,0,0,0,343,2,0,0
2045,0,0,0,0,0,0,0,0,1,0,0,184,2,2,0
7168,0,0,0,0,0,0,1,0,1,0,0,189,3,0,0
5491,1,0,0,1,1,0,2,1,1,1,1,0,24,0,18
4703,0,0,0,0,0,0,0,0,1,0,0,291,2,2,0
5501,0,0,0,0,0,0,3,0,1,0,0,197,4,0,0
5244,1,1,1,0,1,0,5,0,1,0,0,174,5,5,0
5627,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0
4283,0,0,0,0,0,0,0,0,0,0,0,542,2,0,0
6541,1,0,0,0,1,0,9,0,1,1,1,0,4,1,0
8938,0,0,0,0,1,0,2,0,0,0,0,140,2,0,3
4968,0,0,1,0,0,0,0,0,1,0,0,228,4,2,0
2508,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
3593,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0
4495,0,0,0,0,0,0,1,0,1,0,0,539,2,0,0
123,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
4033,0,0,1,0,0,0,1,0,0,0,0,2638,3,0,0
3090,0,0,0,0,0,0,0,0,0,0,0,496,2,0,0
10355,0,0,0,0,1,0,3,0,1,0,0,150,1,5,0
7470,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
9752,0,0,0,0,0,0,2,0,0,0,0,297,2,0,0
9990,0,1,0,0,1,0,4,0,1,0,0,0,3,2,0
9867,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0
10484,0,0,0,0,1,0,1,0,0,0,0,338,2,2,0
10616,0,0,0,0,0,0,2,0,0,0,0,901,2,0,2
4654,1,0,0,0,1,0,4,0,0,0,0,2261,2,3,0
8117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9531,1,0,0,0,1,0,1,0,1,0,0,182,2,0,0
2214,1,0,0,0,1,0,3,0,0,0,0,65,2,2,0
2694,0,0,0,0,0,0,2,0,0,0,0,1881,2,0,0
4947,0,0,0,0,0,0,2,0,1,0,0,273,2,0,0
6099,0,0,0,0,0,0,1,0,0,0,0,519,2,0,1
209,1,1,0,0,1,0,2,0,1,0,0,25,4,1,2
4992,0,0,1,0,0,0,0,0,1,0,0,374,2,0,0
5615,0,0,0,0,1,0,2,0,1,0,0,151,2,1,0
5926,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
8333,0,0,0,0,1,0,2,0,1,0,0,100,3,0,0
78,1,0,0,0,0,0,4,0,1,1,1,0,4,0,0
4907,0,0,0,0,0,0,0,0,1,0,0,53,2,0,0
79,1,0,0,0,1,0,3,0,1,0,0,235,1,0,0
2005,0,0,1,0,1,0,5,0,0,0,0,307,3,0,4
11422,0,0,0,0,1,0,2,0,0,0,0,321,2,5,0
296,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0
8018,0,1,0,0,0,0,3,0,1,0,0,198,2,1,0
3373,0,0,0,0,0,0,2,0,1,0,0,5,3,0,0
3662,1,0,0,0,1,0,2,0,0,0,0,3151,2,4,0
3673,0,0,1,0,1,0,2,0,0,0,0,133,2,1,0
1466,0,0,0,0,0,0,2,0,0,0,0,237,3,0,0
9992,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
10897,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
173,0,1,0,0,1,0,3,0,0,0,0,0,3,1,0
7573,0,0,0,0,0,0,2,0,0,0,0,3161,2,1,0
370,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7387,0,0,1,0,1,0,1,0,1,0,0,232,5,0,0
