,Label
0,1
1,1
2,1
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,1
46,1
47,0
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,0
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,1
67,0
68,0
69,1
70,1
71,1
72,0
73,0
74,0
75,1
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,0
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,1
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,1
148,0
149,1
150,1
151,0
152,1
153,1
154,0
155,1
156,1
157,0
158,1
159,0
160,0
161,1
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,0
171,0
172,1
173,1
174,0
175,0
176,0
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,0
191,0
192,0
193,1
194,1
195,0
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,1
221,0
222,1
223,0
224,1
225,1
226,0
227,0
228,0
229,1
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,1
242,0
243,1
244,1
245,1
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,1
254,1
255,0
256,0
257,0
258,1
259,0
260,1
261,0
262,0
263,1
264,1
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,1
273,0
274,1
275,1
276,1
277,1
278,0
279,0
280,1
281,1
282,0
283,1
284,0
285,0
286,0
287,1
288,1
289,0
290,1
291,0
292,0
293,1
294,1
295,1
296,1
297,1
298,1
299,0
300,1
301,1
302,1
303,1
304,0
305,1
306,1
307,0
308,1
309,1
310,1
311,1
312,0
313,0
314,0
315,1
316,0
317,1
318,0
319,0
320,1
321,1
322,0
323,0
324,1
325,1
326,1
327,0
328,0
329,0
330,1
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,0
343,0
344,0
345,1
346,1
347,0
348,0
349,0
350,0
351,0
352,1
353,1
354,1
355,0
356,0
357,1
358,1
359,1
360,1
361,0
362,1
363,0
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,1
372,0
373,0
374,1
375,0
376,1
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,0
385,1
386,1
387,1
388,0
389,0
390,1
391,1
392,0
393,0
394,0
395,0
396,0
397,0
398,1
399,1
400,0
401,0
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,0
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,0
436,1
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,1
446,1
447,0
448,0
449,0
450,0
451,1
452,1
453,0
454,1
455,1
456,1
457,1
458,0
459,1
460,0
461,1
462,0
463,1
464,1
465,1
466,0
467,0
468,1
469,0
470,1
471,0
472,1
473,1
474,0
475,1
476,1
477,1
478,1
479,0
480,0
481,1
482,0
483,0
484,1
485,1
486,1
487,1
488,1
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,0
497,0
498,1
499,0
500,1
501,1
502,0
503,1
504,1
505,0
506,1
507,0
508,0
509,0
510,0
511,1
512,1
513,0
514,0
515,0
516,1
517,1
518,0
519,0
520,1
521,0
522,0
523,0
524,0
525,0
526,1
527,0
528,0
529,1
530,1
531,1
532,0
533,1
534,0
535,1
536,0
537,0
538,1
539,1
540,0
541,0
542,1
543,0
544,1
545,1
546,0
547,1
548,0
549,1
550,0
551,1
552,1
553,0
554,1
555,1
556,0
557,0
558,1
559,0
560,1
561,1
562,0
563,1
564,1
565,1
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,1
576,1
577,1
578,1
579,1
580,0
581,0
582,1
583,0
584,1
585,0
586,0
587,1
588,1
589,0
590,1
591,0
592,1
593,0
594,1
595,1
596,0
597,0
598,1
599,1
600,0
601,0
602,1
603,0
604,1
605,1
606,0
607,1
608,1
609,0
610,0
611,1
612,1
613,0
614,0
615,1
616,0
617,1
618,1
619,0
620,1
621,1
622,1
623,0
624,1
625,0
626,1
627,1
628,1
629,1
630,0
631,1
632,1
633,1
634,1
635,0
636,0
637,1
638,0
639,1
640,0
641,1
642,1
643,1
644,0
645,1
646,1
647,0
648,1
649,1
650,0
651,0
652,0
653,0
654,1
655,0
656,1
657,1
658,0
659,0
660,0
661,1
662,1
663,0
664,0
665,1
666,1
667,1
668,1
669,0
670,0
671,0
672,0
673,1
674,0
675,1
676,1
677,1
678,0
679,1
680,0
681,0
682,1
683,1
684,1
685,0
686,1
687,0
688,1
689,0
690,1
691,1
692,1
693,0
694,0
695,0
696,0
697,1
698,0
699,0
700,1
701,0
702,0
703,0
704,0
705,1
706,1
707,1
708,1
709,0
710,0
711,1
712,1
713,0
714,0
715,0
716,0
717,1
718,0
719,0
720,0
721,1
722,1
723,0
724,0
725,1
726,1
727,1
728,1
729,1
730,1
731,0
732,0
733,1
734,0
735,0
736,0
737,1
738,0
739,0
740,1
741,1
742,0
743,1
744,0
745,0
746,1
747,0
748,1
749,0
750,1
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,0
759,1
760,0
761,1
762,1
763,0
764,1
765,1
766,0
767,1
768,0
769,1
770,0
771,0
772,1
773,1
774,0
775,0
776,1
777,0
778,0
779,1
780,1
781,0
782,1
783,1
784,1
785,1
786,0
787,0
788,0
789,1
790,0
791,1
792,1
793,1
794,1
795,1
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,1
804,1
805,0
806,1
807,0
808,1
809,0
810,1
811,1
812,0
